,name,fieldlabel
99,Kundereklamation,Ansvarlig
100,Korrigerende handling,Evt. relateret reklamation
101,Reklamationer - Fejlkode,Tekst
102,Reklamation - Valgt løsning,Tekst
103,Reklamation - Årsag,Tekst
104,Reklamation - Opstået hos,Tekst
105,Afvigelse,Relateret til Audit nr.
106,Forbedringsforslag,Ansvarlig
107,Afvigelse - Fejlkategori,Fejlkategori
108,Afvigelse - Fejlkode,Fejlkategori
109,Afvigelse,Fejlkategori
110,Kunde,Kundenummer
111,Kunde,Kundenavn
112,Kunde,Adresse 1
113,Kunde,Adresse 2
114,Kunde,Telefonnummer
115,Kunde,Postnummer
116,Kunde,By
117,Kundereklamation,Navn
118,Audit,Ansvarlig
119,Audit,Type
120,Audit,Tidspunkt (00:00)
121,Audit,Relaterede standarder
122,Audit,Komplet auditrapport er vedhæftet?
124,Afvigelse,Risikovurdering (Skjules)
125,Afvigelse - Fejlkode,Fejlkode
126,Billeder,Billede
127,Afvigelse,Billeder
128,Afvigelse - opstår,Opstår
129,Afvigelse,Hvor opstod afvigelsen?
130,Afvigelse - opdaget,Opdaget
131,Afvigelse,Hvor blev afvigelsen opdaget?
134,Afvigelse,Materialer (kr)
135,Afvigelse,Antal timer
136,Afvigelse,Funktionær timer
137,Afvigelse,Løn funktionær (kr)
138,Afvigelse,Løn produktion (kr)
139,Afvigelse,Totalt
140,Afvigelse,Sagsbehandling 700 kr
142,Afvigelse,Sagsnummer
143,Afvigelse,HUSK at gemme efter en korr. handling er oprettet !!
144,Forbedringsforslag,Sagsnummer
145,Forbedringsforslag,Upload fil(er)
147,Forbedringsforslag,Skal undersøges af
148,Forbedringsforslag,Hvad skal der undersøges
149,Forbedringsforslag,Resultat undersøgelse
150,Forbedringsforslag,Maskintype
151,Forbedringsforslag - maskintyper,Maskintype
152,Forbedringsforslag,Skal undersøges
153,Audit,Afvigelser
154,Audit,Forbedringsforslag
155,Forbedringsforslag,Billeder
156,Afvigelse,Konverter til forbedringsforslag
157,Afvigelse,Opret forbedringsforslag
161,Forbedringsforslag,Sagsbehandling 700 kr
162,Forbedringsforslag,Totalt
163,Forbedringsforslag,Materialer (kr)
164,Forbedringsforslag,Antal timer
165,Forbedringsforslag,Løn produktion (kr)
166,Forbedringsforslag,Forventet antal funktionær timer i alt
167,Forbedringsforslag,Løn funktionær (kr)
171,Korrigerende handling,Sagsbehandling 700 kr
172,Korrigerende handling,Totalt
173,Korrigerende handling,Materialer (kr)
174,Korrigerende handling,Antal timer
175,Korrigerende handling,Løn prod. (kr)
176,Korrigerende handling,Tegnestuen timer
177,Korrigerende handling,Løn tegnestuen (kr)
178,Forbedringsforslag,Evt. relateret afvigelsesnr.
179,Afvigelse,Kundenavn
180,Forbedringsforslag,Kundenavn
181,IPW Test af talfelt,Tekst
182,Forbedringsforslag,Skal implementeres (udgår)
183,Forbedringsforslag - prioritet,Prioritet
184,Forbedringsforslag - prioritet,Rækkefølge
185,Forbedringsforslag,Prioritet
186,Forbedringsforslag,Konverter til afvigelse
187,Forbedringsforslag,Opret afvigelse
188,Afvigelse,Objectid
189,Afvigelse,Evt. relateret forbedringsforslag
190,Audit - Område + ansvarlig,Afdeling
191,Audit - Område + ansvarlig,Ansvarlig
192,Audit,Afdelingsansvarlig
193,Audit,Planlagt opfølgning
194,Forbedringsforslag,Send notifikationer cc til
195,Afvigelse,Send emails cc til
196,Afvigelse,Tegningsnummer
197,Forbedringsforslag,Tegningsnummer
198,Kundereklamation,Sagsnummer
199,Kundereklamation,Evt. A- eller V- nummer
200,Kundereklamation,Supplerende tekniske oplysninger
201,Kundereklamation,Korrigerende handlinger
202,Kundereklamation,Kategori
203,Reklamation - Kategorier,Kategori
205,Sikkerhed,Nummer
206,Sikkerhed,Oprettet af
207,Sikkerhed,Oprettelsesdato
208,Sikkerhed,Ansvarlig
210,Sikkerhed,Dato for nærved ulykke
211,Sikkerhed,Afdeling for hændelsen
212,Sikkerhed,Beskrivelse
213,Sikkerhed,Vælg behandler
215,Sikkerhed,Upload filer
216,Sikkerhed,Billeder
217,Sikkerhed,Billede 02
218,Sikkerhed,Billede 03
220,Sikkerhed,Årsag
221,Sikkerhed,Årsagsanalyse
222,Sikkerhed,"Hvad skal gøres for, at risikoen for en ulykke fjernes?"
223,Sikkerhed,Her og nu tiltag
224,Sikkerhed,Er opfølgning nødvendig?
226,Sikkerhed,Opfølgningsdato
227,Sikkerhed,Kommentar
228,Sikkerhed - årsager,Tekst
229,Sikkerhed - Type,Type
230,Sikkerhed,Type
231,Sikkerhed,Det har jeg gjort
232,Afvigelse,Årsagsanalyse
233,Kundereklamation,Kunde
235,Kundereklamation,Gadenavn
236,Kundereklamation,Postnr
237,Kundereklamation,Postby
238,Kundereklamation,Telefonnummer
239,Kundereklamation,E-mail
240,Kundereklamation,Kontaktperson
241,Kundereklamation,Kundens reference
242,Kundereklamation,Behandles af
244,Kundereklamation,Handling der førte til reklamationen
245,Kundereklamation,Stillingtagen
246,Kundereklamation,Valgt løsning
247,Kundereklamation,"Omkostning, kr"
248,Kundereklamation,Reklamation opstået hos
249,Kundereklamation,Årsag til reklamationen
251,Kundereklamation,Send Information til
253,Kundereklamation,Varenummer
254,Kundereklamation,Varenavn
255,Kundereklamation,Antal
256,Kundereklamation,Enheder
257,Kundereklamation,Batchnr
258,Kundereklamation,Fejlkode
259,Kundereklamation,Kundens fejlbeskrivelse
260,Kundereklamation,Oprettet af
261,Kundereklamation,Oprettet
262,Kundereklamation,Vedhæft filer
263,Kundereklamation,Nummer
264,Afvigelsesblanket,Nummer
265,Afvigelsesblanket,Oprettet
266,Afvigelsesblanket,Oprettet af
269,Afvigelsesblanket,Fejlkode
270,Afvigelser - Fejlkode,Tekst
271,Afvigelsesblanket,Primært ansvar
272,Afvigelsesblanket,Vælg behandler
273,Afvigelsesblanket,Beskrivelse af afvigelsen
274,Afvigelsesblanket,Det har jeg gjort
275,Afvigelsesblanket,Afvigelsen skete den
276,Afvigelsesblanket,Vedhæft filer
278,Afvigelsesblanket,Korrigerende handling
279,Afvigelsesblanket,Udført dato
280,Afvigelsesblanket,Ansvarlig
281,Afvigelsesblanket,Korrigerende/Forebyggende handlinger med ansvarlig og deadline oprettes separat i fanebladet her på afvigelsesblanketten
282,Afvigelsesblanket,Bemærkning
288,Forbedringsforslag,Nummer
289,Forbedringsforslag,Oprettet af
290,Forbedringsforslag,Oprettet
291,Forbedringsforslag,Evt. relateret Intern Audit nr.
292,Forbedringsforslag,Afdeling
293,Forbedringsforslag,Overskrift
294,Forbedringsforslag,Forslag til forbedring / løsning
295,Forbedringsforslag,Anslåede omkostninger (DKK)
296,Forbedringsforslag,Faktiske omkostninger (DKK)
297,Forbedringsforslag,Vælg beslutningstager
298,Forbedringsforslag,Prioritet
299,Forbedringsforslag,Beskrivelse af implementering
300,Forbedringsforslag,Ansvarlig for implementering
301,Forbedringsforslag,Deadline for implementering
302,Forbedringsforslag,Implementeret dato
303,Forbedringsforslag,Bemærkning
304,Forbedringsforslag,Opfølgning foretaget
305,Forbedringsforslag,Konklusion
310,Intern audit,Nummer
311,Intern audit,Oprettet af
312,Intern audit,Oprettet
313,Intern audit,Audit Område
314,Intern audit,Evt. referencedokument(er)
315,Intern audit,Auditdato
316,Intern audit,Ledende auditor
317,Intern audit,Assisterende auditor
318,Intern audit,Deltagere
319,Intern audit,Auditresultat
320,Intern audit,Kommentarer og anbefalinger
321,Intern audit,Send info til brugere
322,Intern audit,Send info til brugergrupper
323,Intern audit,Opfølgning foretaget
324,Intern audit,Kommentarer
325,Intern audit,Reel forbedring?
326,Intern audit,Vedhæft filer
331,Korrigerende / forebyggende handling,Type
332,Korrigerende / forebyggende handling,Oprettet
333,Korrigerende / forebyggende handling,Oprettet af
334,Korrigerende / forebyggende handling,Ansvarlig
335,Korrigerende / forebyggende handling,Nummer
336,Korrigerende / forebyggende handling,Evt. relateret afvigelse
337,Korrigerende / forebyggende handling,Følgende udføres
338,Korrigerende / forebyggende handling,Dato for udførelse
339,Korrigerende / forebyggende handling,Vælg ansvarlig
340,Korrigerende / forebyggende handling,Hvad er udført
341,Korrigerende / forebyggende handling,Udført dato
342,Korrigerende / forebyggende handling,Verificeret dato
343,Korrigerende / forebyggende handling,Kommentar
344,Kundereklamation,Ansvarlig
345,Kundereklamation,Korrigerende/Forebyggende handlinger med ansvarlig og deadline oprettes separat i fanebladet her øverst på blanketten
346,Korrigerende / forebyggende handling,Evt. relateret reklamation
347,Reklamationer - Fejlkode,Tekst
348,Reklamation - Stillingtagen,Tekst
349,Reklamation - Valgt løsning,Tekst
350,Reklamation - Årsag,Tekst
351,Reklamation - Opstået hos,Tekst
352,Afvigelsesblanket,Evt. relateret til Intern Audit nr.
353,Forbedringsforslag,Ansvarlig
354,amnj-kundereklamation,Kunde navn
356,amnj-kundereklamation,Gadenavn
357,amnj-kundereklamation,Post nr.
358,amnj-kundereklamation,By
359,amnj-kundereklamation,Tlf. nr.
360,amnj-kundereklamation,E-mail
361,amnj-kundereklamation,Reklamations nr.
362,amnj-kundereklamation,Kontaktperson
364,amnj-kundereklamation,Vare nr.
365,amnj-kundereklamation,Vare navn
366,amnj-kundereklamation,Mængde bestilt
368,amnj-fejltype,Tekst
369,amnj-kundereklamation,Fejltype
370,amnj-kundereklamation,Kommentar
372,amnj-kundereklamation,Sendt til behandling hos:
373,amnj-kundereklamation,Årsag til reklamation
374,amnj-kundereklamation,Årsag til fejlens opståen
375,amnj-kundereklamation,Fejlretning
376,amnj-kundereklamation,Vedhæft dokumentation
378,Fejlrapport,Sags nr.
379,Fejlrapport,Oprettet af
380,Fejlrapport,Dato
382,Fejlrapport,Fejltype
383,Fejlrapporttyper,Tekst
384,amnj-leverandørreklamation,Reklamations nr.
386,amnj-leverandørreklamation,Leverandørnavn
387,amnj-leverandørreklamation,Gadenavn
388,amnj-leverandørreklamation,Post nr.
389,amnj-leverandørreklamation,By
390,amnj-leverandørreklamation,Tlf. nr.
391,amnj-leverandørreklamation,E-mail
392,amnj-leverandørreklamation,Kontaktperson
394,amnj-leverandørreklamation,Vare nr.
395,amnj-leverandørreklamation,Vare nr.
396,amnj-leverandørreklamation,Mængde bestilt
398,amnj-leverandørreklamation,Fejltype
399,amnj-leverandørreklamation,Kommentar
400,amnj-leverandørreklamation,Sendt til behandling hos:
402,amnj-leverandørreklamation,Årsag til reklamation
403,amnj-leverandørreklamation,Årsag til fejlens opståen
404,amnj-leverandørreklamation,Fejlretning
405,amnj-leverandørreklamation,Vedhæft dokumentation
406,amnj-kundereklamation,Kundens beskrivelse af fejlårsag
407,amnj-kundereklamation,Økonomi ansl.
408,amnj-afvigelsesblanket,Afvigelses rapport nr.
410,amnj-afvigelsesblanket,Løbe nr.
411,amnj-afvigelsesblanket,Vare nr.
412,amnj-afvigelsesblanket,Varenavn
413,amnj-afvigelsesblanket,Batch nr.
414,amnj-afvigelsesblanket,Udstyrstype
415,amnj-afvigelsesblanket,ID-nr.
416,amnj-afvigelsesblanket,Dok. nr./udg. nr.
417,amnj-afvigelsesblanket,Dok. navn
418,amnj-afvigelsesblanket,Miljøprøve-/type
419,amnj-afvigelsesblanket,Afd. nr.
420,amnj-afvigelsesblanket,Afvigelsesdato
421,amnj-afvigelsesblanket,Erkendelsesdato
422,amnj-afvigelsesblanket,Planlagt afvigelse
423,amnj-afvigelsesblanket,Periode/afgrænsning
425,amnj-afvigelsesblanket,Bilags nr.
427,amnj-afvigelsesblanket,Sendt til kommentering
428,amnj-afvigelsesblanket,Sendt til (init./afd.nr.)
429,amnj-afvigelsesblanket,Kommentarer modtaget fra (init./afd. nr.)
431,amnj-afvigelsesblanket,Mulige årsager til afvigelse
432,amnj-afvigelsesblanket,Influens på andre batches/processer/produkter
433,amnj-afvigelsesblanket,"Evaluering ift. kvalitet, compliance og registering"
434,amnj-afvigelsesblanket,Bilags nr.
435,amnj-afvigelsesblanket,Antal sider
436,amnj-afvigelsesblanket,Ja/Nej
437,amnj-afvigelsesblanket,Begrundelse anføres
438,amnj-afvigelsesblanket,Bilags nr.
439,amnj-afvigelsesblanket,Antal sider
440,amnj-afvigelsesblanket,Bilags nr.
443,amnj-afvigelsesblanket,Behov for gentræning
444,amnj-afvigelsesblanket,Ja/Nej
445,amnj-afvigelsesblanket,"Hvis Nej, begrund årsag"
446,amnj-afvigelsesblanket,Beskrivelse af træning
447,amnj-afvigelsesblanket,Behov for andre korrigerende handlinger
448,amnj-afvigelsesblanket,Ja/Nej
449,amnj-afvigelsesblanket,Anfør andre korr. handlinger
450,amnj-afvigelsesblanket,Ændring af dokumentation
451,amnj-afvigelsesblanket,Deadline (dato)
452,amnj-afvigelsesblanket,Ansvarlig
453,amnj-afvigelsesblanket,Udarbejdet af
454,amnj-afvigelsesblanket,Afd. nr.
455,amnj-afvigelsesblanket,Afd. navn
456,amnj-afvigelsesblanket,Godkendt af
457,amnj-afvigelsesblanket,Modtaget i QA
458,amnj-afvigelsesblanket,Sendt til kommentering af QA
459,amnj-afvigelsesblanket,Init./afd. nr.
460,amnj-afvigelsesblanket,Kommentering afsluttet Ja/Nej
461,amnj-afvigelsesblanket,Konklusion/disponering
462,Afvigelser,Nummer
463,Afvigelser,Oprettet
464,Afvigelser,Oprettet af
466,Afvigelser,Fejlkode
467,Afvigelser,Beskrivelse af afvigelsen
468,Afvigelser,Det har jeg gjort for at afhjælpe
469,Afvigelser,Afvigelsen konstateret den
471,Afvigelser,Ansvarlig
472,Afvigelser,Evt. bemærkninger
478,Forbedring - Forbedringsforslag,Nummer
479,Forbedring - Forbedringsforslag,Oprettet af
480,Forbedring - Forbedringsforslag,Oprettet
481,Forbedring - Forbedringsforslag,Evt. relateret Intern Audit nr.
482,Forbedring - Forbedringsforslag,Overskrift
483,Forbedring - Forbedringsforslag,Foreslåede tiltag
484,Forbedring - Forbedringsforslag,Anslåede omkostninger (DKK)
485,Forbedring - Forbedringsforslag,Faktiske omkostninger (DKK)
486,Forbedring - Forbedringsforslag,Beslutning
487,Forbedring - Forbedringsforslag,Plan for implementering
488,Forbedring - Forbedringsforslag,Ansvarlig for implementering
489,Forbedring - Forbedringsforslag,Deadline for implementering
490,Forbedring - Forbedringsforslag,Implementeret dato
491,Forbedring - Forbedringsforslag,Bemærkning
492,Forbedring - Forbedringsforslag,Opfølgning foretaget
493,Forbedring - Forbedringsforslag,Konklusion
497,[Handlinger] Handlinger,Oprettet
498,[Handlinger] Handlinger,Oprettet af
499,[Handlinger] Handlinger,Ansvarlig
500,[Handlinger] Handlinger,Nummer
501,[Handlinger] Handlinger,Evt. relateret afvigelse
502,[Handlinger] Handlinger,Følgende udføres
503,[Handlinger] Handlinger,Deadline
504,[Handlinger] Handlinger,Ansvarlig udførelse
505,[Handlinger] Handlinger,Verificeret dato
506,[Handlinger] Handlinger,Kommentar
507,Afvigelser,Relateret til Audit nr.
508,Forbedring - Forbedringsforslag,Ansvarlig
510,[Evaluering - Audit & Myndighedstilsyn] Fejlkode - kategori,Fejlkode - kategori
511,Afvigelser,Konklusion årsagsanalyse
512,Afvigelser,Besluttede korrigerende handling(-er)
514,Afvigelser,Opfølgning foretaget af
515,Afvigelser,Er årsagen fjernet?
516,Afvigelser,Bemærkninger
517,Afvigelser,Ansvarlig opfølgning
519,SOP - formular,Varenr.
520,SOP - formular,Område
521,SOP - formular,Proces
522,SOP - formular,Formål
523,SOP - formular,Generelle anvisninger
524,SOP - formular,Bemærkning
526,SOP - formular,Kapitler
527,SOP - Kapitler,Nr.
528,SOP - Kapitler,Overskrift
529,SOP - Kapitler,Tekst
530,SOP - Kapitler,Billede
532,Nærved hændelse,Nummer
533,Nærved hændelse,Oprettet af
534,Nærved hændelse,Oprettelsesdato
535,Nærved hændelse,Ansvarlig
537,Nærved hændelse,Dato for nærved ulykke
538,Nærved hændelse,Beskriv nærved-ulykken
540,Nærved hændelse,Betydelige forhold (UDGÅET)
541,Nærved hændelse,Besluttede korrigerende handlinger
543,Nærved hændelse,Opfølgningsdato
544,Nærved hændelse,Kommentar
545,[Generelt] Lokationer,CVR nummer
546,[Generelt] Lokationer,Adresse
547,[Generelt] Lokationer,By
548,[Generelt] Lokationer,P-nummer
549,[Systemtabel] Rammer og vilkår - Godkendelser,Godkendelsestype
550,[Systemtabel] Rammer og vilkår - Godkendelser,Myndighed
551,[Systemtabel] Rammer og vilkår - Godkendelser,Gyldighed
552,[Systemtabel] Rammer og vilkår - Godkendelser,Godkendelsesnummer
553,[Systemtabel] Rammer og vilkår - Godkendelser,Godkendelse
554,[Systemtabel] Rammer og vilkår - Godkendelser,"Udstedt, dato"
555,[Systemtabel] Rammer og vilkår - Godkendelser,"Gyldig til, dato"
556,[Systemtabel] Rammer og vilkår - Godkendelsestyper,Godkendelsestype
558,Risikoanalyse - HACCP,Procestrin
559,Risikoanalyse - HACCP,Opret ny
560,Risikoanalyse - HACCP,Risikofaktor
561,Risikoanalyse - HACCP,Risikofaktorbeskrivelse
562,Risikoanalyse - HACCP,Er der risiko?
563,Risikoanalyse - HACCP,Begrundelse for vurderingen
565,Risikoanalyse - HACCP,Alvorlighed
566,Risikoanalyse - HACCP,Sandsynlighed
567,Risikoanalyse - HACCP,Vurdering
568,Risikoanalyse - HACCP,Gældende vurdering
569,Risikoanalyse - HACCP,Styrende foranstaltning
571,Risikoanalyse - HACCP,Følg link til dokumentationen vedrørende beslutningstræet
572,Risikoanalyse - HACCP,1. Forhindrer eller reducerer den styrende foranstaltning risikoen til et acceptabelt niveau?
573,Risikoanalyse - HACCP,2. Er denne foranstaltning nødvendig (der er ikke andre effektive foranstaltninger)
574,Risikoanalyse - HACCP,"3. Foranstaltningen er en PRP, som skal minimere sandsynligheden og er nødt til at blive overvåget jævnligt?"
575,Risikoanalyse - HACCP,"4. Er foranstaltningen en PRP, der har direkte indflydelse på den væsentlige risikofaktor?"
576,Risikoanalyse - HACCP,Resultat Beslutningstræ
578,Risikoanalyse - HACCP,Kritiske grænser
579,Risikoanalyse - HACCP,Overvågningsmetode
580,Risikoanalyse - HACCP,Overvågningsfrekvens
581,Risikoanalyse - HACCP,Ansvar overvågning
582,Risikoanalyse - HACCP,Opret nyt ansvar
583,Risikoanalyse - HACCP,Korrigerende handling
584,Risikoanalyse - HACCP,Ansvar verifikation
585,Risikoanalyse - HACCP,Systemreferencer
586,Risikoanalyse - HACCP,Registreringsreferencer
587,Risikoanalyse - HACCP,Angiv begrundelse for at genoptage vurdering
588,Risikoanalyse - HACCP,Senest revideret
589,Risikoanalyse - HACCP,Senest revideret af
590,Risikoanalyse - HACCP,Vedhæft filer
591,[HACCP] Risikoanalyse - Ansvar,Ansvarlig
592,[Generelt ] Hovedprocesser,Proces
593,[Generelt ] Hovedprocesser,Link til tilhørende flowdiagram
594,[Systemtabel] Rammer og vilkår - Godkendelser,Forretningsenhed
595,[Rammer og vilkår] Rammer - Interessenter (indlejret tabel),Interessent
596,[Rammer og vilkår] Rammer - Interessenter (indlejret tabel),Interessentens behov og forventninger
597,[Rammer og vilkår] Rammer - Interessenter (indlejret tabel),BioCircs forventninger til og behov fra interessenten
599,Afvigelser,Anden dokumentation (andre filer)
601,Hændelse - OLD,Nummer
602,Hændelse - OLD,Oprettet
603,Hændelse - OLD,Oprettet af
604,Hændelse - OLD,Ansvarlig
606,Hændelse - OLD,Dato for hændelsen
607,Hændelse - OLD,Bygning
608,Hændelse - OLD,Klokken
609,Hændelse - OLD,Vidner (BioCirc ansatte)
612,Hændelse - OLD,Forretningsenhed
613,[Hændelse] Skadede kropsdele - sekundær,Skadede kropsdele - sekundær
614,Hændelse - OLD,Beskriv hændelsesforløbet
615,Hændelse - OLD,Skadesbegrænsende foranstaltninger
617,Hændelse - OLD,Påvirket miljø
619,Hændelse - OLD,Dokumentation
621,Hændelse - OLD,Korrigerende handling(-er)
622,Hændelse - OLD,Bemærkning
624,Hændelse - OLD,Er årsagen fjernet?
625,Hændelse - OLD,Bemærkninger
626,Hændelse - OLD,Vælg opfølgningsansvarlig
627,Afvigelser,Forretningsenhed
628,Hændelse - OLD,Anden dokumentation (andre filer)
629,Nærved hændelse,Anden dokumentation (andre filer)
630,Nærved hændelse,Konklusion (UDGÅET)
631,[Generelt ] Hovedprocesser,Forretningsenhed
633,Nærved hændelse,Bemærkning
634,Nærved hændelse,Er risikoen fjernet?
635,Nærved hændelse,Forretningsenhed
636,Nærved hændelse,Bygning/teknisk udstyr
637,Nærved hændelse,Klokken
638,Nærved hændelse,Var der andre der så nærved hændelsen? (UDGÅPR)
639,[Handlinger] Handlinger,Overskrift
640,Hændelse - OLD,Adresse
641,Hændelse - OLD,P-nummer
642,Generelt - Intervaller,Nummer
643,Generelt - Intervaller,Interval
644,[Hændelse] Personskade skadestype - sekundær,Skadestype - sekundær
646,[Hændelse] Påvirket miljø,Påvirket miljø
648,Hændelse - OLD,Sammenfatning
649,Risikoanalyse - HACCP,Forretningsenhed
651,Evaluering - Målinger,Overvågningsområde
652,Hændelse - OLD,Bilag
653,Afvigelser,Er afvigelsen opstået før?
655,Afvigelser,Bemærkninger til korrigerende handlinger
656,Hændelse - OLD,Driftsforhold ved hændelsen
657,Evaluering - Målinger,Forretningsenhed
658,Evaluering - Målinger,Rapport dato
659,Evaluering - Målinger,Konklusion
660,Evaluering - Målinger,Sendt til myndighed
661,Evaluering - Målinger,Bilag
662,Evaluering - Målinger,Bemærkning
663,[Systemtabel] Rammer - Interessent typer (hjælpetabel),Interessent
664,[Systemtabel] Rammer - Interessent typer (hjælpetabel),Intern/ekstern
665,[Systemtabel] Rammer - Interessent typer (hjælpetabel),Begrundelse for inkludering
666,Hændelse - OLD,Konklusion årsagsanalyse
667,Hændelse (risikovurdering) - sekundær,Ledeord
668,Hændelse (risikovurdering) - sekundær,Uddybende bemærkning
669,[Risikoanalyser] Konsekvens - sekundær,Farer
670,[Risikoanalyser] Konsekvens - sekundær,Kategorisering
671,[Risikoanalyser] Konsekvens - primær,Kategorisering farer
672,[Risikoanalyser] Konsekvens - primær,Forklaring
673,[Risikoanalyser] Planlægning - Risikoområder,Område
674,[Risikoanalyser] Planlægning - Risiko delområder,Delområde
675,[Risikoanalyser] Planlægning - Risiko delområder,Område
676,Planlægning - Barriere katalog,Type
677,Planlægning - Barriere katalog,Barriere
678,Planlægning - Barriere katalog,Point
679,Planlægning - Barriere katalog,Beskrivelse
680,Planlægning - Barriere katalog,Foranstaltningstype
681,Evaluering - Målinger,Overvågningsparameter
682,Nærved hændelse,Lokation
683,Nærved hændelse,CVR nummer
684,Nærved hændelse,P-nummer
685,Afvigelser,Ansvarlig årsagsanalyse
686,[Handlinger] Handlinger,Verifikator
687,Hændelse - OLD,Vælg ansvarlig årsagsanalyse
688,Nærved hændelse,Ansvarlig årsagsanalyse
689,Nærved hændelse,Vælg opfølgningsansvarlig
690,Forbedring - Forbedringsforslag,Baggrund for forslaget
691,Forbedring - Forbedringsforslag,Nu-situation
692,Forbedring - Forbedringsforslag,Mål
693,Forbedring - Forbedringsforslag,Opfølgning
694,Forbedring - Forbedringsforslag,Vælg godkender
695,Forbedring - Forbedringsforslag,Evt. bilag
696,[Rammer og vilkår] Rammer - Interessenter (indlejret tabel),Sidst evalueret
697,[Systemtabel] Rammer og vilkår - Godkendelser,Standard
698,[Generelt ] Hovedprocesser,Procestype
699,Afvigelser,Evt. dokumentation
707,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Politik +
708,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Politik -
709,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Økonomi +
710,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Økonomi -
711,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Social +
712,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Social -
713,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Teknologi +
714,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Teknologi -
715,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Miljø +
716,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Miljø -
717,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Lovgivning +
718,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Lovgivning -
719,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Sidst evalueret
728,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Strategi +
729,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Strategi -
730,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Struktur +
731,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Struktur -
732,[Systemtabel] Rammer og vilkår - Interne/eksterne forhold og interessenter,Systemer +
