"Kunde","customname","customform","name","fieldobjectid","fieldparentid","fieldparenttype","elementtype","fieldtype","blocktype","specialtype","fieldrelation","fieldlabel","language"
abinventech,form1089,1089,Afvigelse,7707,"7703",customformelement,field,decimal,"","","",Materialer (kr),DA
abinventech,form1089,1089,Afvigelse,7711,"7703",customformelement,field,decimal,"","","",Antal timer,DA
abinventech,form1089,1089,Afvigelse,7715,"7756",customformelement,field,decimal,"","","",Funktionær timer,DA
abinventech,form1089,1089,Afvigelse,7719,"7756",customformelement,field,decimal,"","","",Løn funktionær (kr),DA
abinventech,form1089,1089,Afvigelse,7731,"7703",customformelement,field,decimal,"","","",Løn produktion (kr),DA
abinventech,form1089,1089,Afvigelse,7735,"7699",customformelement,field,decimal,"","","",Totalt,DA
abinventech,form1089,1089,Afvigelse,7752,"7699",customformelement,special,"","",layout_text,"",Sagsbehandling 700 kr,DA
abinventech,form1089,1089,Afvigelse,7756,"7699",customformelement,block,"",layout_fieldset,"","",Funktionær,DA
abinventech,form1089,1089,Afvigelse,7780,"1094",customformelement,field,string,"","","",Sagsnummer,DA
abinventech,form1089,1089,Afvigelse,7792,"1106",customformelement,special,"","",layout_text,"",HUSK at gemme efter en korr. handling er oprettet !!,DA
abinventech,form1220,1220,Forbedringsforslag,7810,"1223",customformelement,field,string,"","","",Sagsnummer,DA
abinventech,form1220,1220,Forbedringsforslag,7821,"",customform,special,"","",layout_buttonupload,"",Upload fil(er),DA
abinventech,form1220,1220,Forbedringsforslag,7836,"",customform,block,"",layout_fieldset,"","",Undersøgelse,DA
abinventech,form1220,1220,Forbedringsforslag,7843,"1224",customformelement,field,userrelation,"","","",Skal undersøges af,DA
abinventech,form1220,1220,Forbedringsforslag,7859,"7836",customformelement,field,text,"","","",Hvad skal der undersøges,DA
abinventech,form1220,1220,Forbedringsforslag,7866,"7836",customformelement,field,text,"","","",Resultat undersøgelse,DA
abinventech,form1220,1220,Forbedringsforslag,7911,"1223",customformelement,field,relation,"","",form7918,Maskintype,DA
abinventech,form7918,7918,Forbedringsforslag - maskintyper,7919,"",customform,field,string,"","","",Maskintype,DA
abinventech,form1220,1220,Forbedringsforslag,7930,"1224",customformelement,field,checkbox,"","","",Skal undersøges,DA
abinventech,form1376,1376,Audit,7968,"1379",customformelement,field,multiselect,"","",form1089,Afvigelser,DA
abinventech,form1376,1376,Audit,7974,"1379",customformelement,field,multiselect,"","",form1220,Forbedringsforslag,DA
abinventech,form1220,1220,Forbedringsforslag,8770,"1223",customformelement,field,inline,"","",form7635,Billeder,DA
abinventech,form1089,1089,Afvigelse,8777,"1106",customformelement,field,checkbox,"","","",Konverter til forbedringsforslag,DA
abinventech,form1089,1089,Afvigelse,8781,"1106",customformelement,field,multiselect,"","",form1220,Opret forbedringsforslag,DA
abinventech,form1220,1220,Forbedringsforslag,8788,"",customform,block,"",layout_fieldset,"","",Omkostninger,DA
abinventech,form1220,1220,Forbedringsforslag,8795,"8788",customformelement,block,"",layout_fieldset,"","",Produktion,DA
abinventech,form1220,1220,Forbedringsforslag,8802,"8788",customformelement,block,"",layout_fieldset,"","",Funktionær,DA
abinventech,form1220,1220,Forbedringsforslag,8809,"8788",customformelement,special,"","",layout_text,"",Sagsbehandling 700 kr,DA
abinventech,form1220,1220,Forbedringsforslag,8816,"8788",customformelement,field,decimal,"","","",Totalt,DA
abinventech,form1220,1220,Forbedringsforslag,8824,"8795",customformelement,field,decimal,"","","",Materialer (kr),DA
abinventech,form1220,1220,Forbedringsforslag,8831,"8795",customformelement,field,decimal,"","","",Antal timer,DA
abinventech,form1220,1220,Forbedringsforslag,8838,"8795",customformelement,field,decimal,"","","",Løn produktion (kr),DA
abinventech,form1220,1220,Forbedringsforslag,8846,"8802",customformelement,field,decimal,"","","",Forventet antal funktionær timer i alt,DA
abinventech,form1220,1220,Forbedringsforslag,8853,"8802",customformelement,field,decimal,"","","",Løn funktionær (kr),DA
abinventech,form1401,1401,Korrigerende handling,8864,"",customform,block,"",layout_fieldset,"","",Omkostninger,DA
abinventech,form1401,1401,Korrigerende handling,8869,"8864",customformelement,block,"",layout_fieldset,"","",Værksted,DA
abinventech,form1401,1401,Korrigerende handling,8874,"8864",customformelement,block,"",layout_fieldset,"","",Tegnestuen,DA
abinventech,form1401,1401,Korrigerende handling,8879,"8864",customformelement,special,"","",layout_text,"",Sagsbehandling 700 kr,DA
abinventech,form1401,1401,Korrigerende handling,8884,"8864",customformelement,field,decimal,"","","",Totalt,DA
abinventech,form1401,1401,Korrigerende handling,8889,"8869",customformelement,field,decimal,"","","",Materialer (kr),DA
abinventech,form1401,1401,Korrigerende handling,8894,"8869",customformelement,field,decimal,"","","",Antal timer,DA
abinventech,form1401,1401,Korrigerende handling,8899,"8869",customformelement,field,decimal,"","","",Løn prod. (kr),DA
abinventech,form1401,1401,Korrigerende handling,8905,"8874",customformelement,field,decimal,"","","",Tegnestuen timer,DA
abinventech,form1401,1401,Korrigerende handling,8910,"8874",customformelement,field,decimal,"","","",Løn tegnestuen (kr),DA
abinventech,form1220,1220,Forbedringsforslag,8921,"1222",customformelement,field,relation,"","",form1089,Evt. relateret afvigelsesnr.,DA
abinventech,form1089,1089,Afvigelse,9347,"1094",customformelement,field,relation,"","",form2488,Kundenavn,DA
abinventech,form1220,1220,Forbedringsforslag,9352,"1223",customformelement,field,relation,"","",form2488,Kundenavn,DA
abinventech,form9844,9844,IPW Test af talfelt,9845,"",customform,field,decimal,"","","",Tekst,DA
abinventech,form1220,1220,Forbedringsforslag,9864,"1224",customformelement,field,checkbox,"","","",Skal implementeres (udgår),DA
abinventech,form9876,9876,Forbedringsforslag - prioritet,9877,"",customform,field,string,"","","",Prioritet,DA
abinventech,form9876,9876,Forbedringsforslag - prioritet,9879,"",customform,field,integer,"","","",Rækkefølge,DA
abinventech,form1220,1220,Forbedringsforslag,9886,"1224",customformelement,field,relation,"","",form9876,Prioritet,DA
abinventech,form1220,1220,Forbedringsforslag,16875,"1224",customformelement,field,checkbox,"","","",Konverter til afvigelse,DA
abinventech,form1220,1220,Forbedringsforslag,16883,"1224",customformelement,field,multiselect,"","",form1089,Opret afvigelse,DA
abinventech,form1089,1089,Afvigelse,19442,"",customform,special,"","",objectid,"",Objectid,DA
abinventech,form1089,1089,Afvigelse,20819,"1094",customformelement,field,relation,"","",form1220,Evt. relateret forbedringsforslag,DA
abinventech,form27144,27144,Audit - Område + ansvarlig,27145,"",customform,field,relation,"","",department,Afdeling,DA
abinventech,form27144,27144,Audit - Område + ansvarlig,27147,"",customform,field,userrelation,"","","",Ansvarlig,DA
abinventech,form1376,1376,Audit,27151,"1378",customformelement,field,userrelation,"","","",Afdelingsansvarlig,DA
abinventech,form1376,1376,Audit,27173,"1380",customformelement,field,date,"","","",Planlagt opfølgning,DA
abinventech,form1220,1220,Forbedringsforslag,28350,"",customform,field,userrelation_multiple,"","","",Send notifikationer cc til,DA
abinventech,form1089,1089,Afvigelse,28360,"",customform,field,userrelation_multiple,"","","",Send emails cc til,DA
abinventech,form1089,1089,Afvigelse,28368,"1094",customformelement,field,string,"","","",Tegningsnummer,DA
abinventech,form1220,1220,Forbedringsforslag,28375,"1223",customformelement,field,string,"","","",Tegningsnummer,DA
abinventech,form876,876,Kundereklamation,32842,"901",customformelement,field,string,"","","",Sagsnummer,DA
abinventech,form876,876,Kundereklamation,32846,"901",customformelement,field,string,"","","",Evt. A- eller V- nummer,DA
abinventech,form876,876,Kundereklamation,32850,"901",customformelement,field,text,"","","",Supplerende tekniske oplysninger,DA
abinventech,form876,876,Kundereklamation,32854,"893",customformelement,field,multiselect,"","",form1401,Korrigerende handlinger,DA
abinventech,form876,876,Kundereklamation,39747,"901",customformelement,field,relation,"","",form39751,Kategori,DA
abinventech,form39751,39751,Reklamation - Kategorier,39752,"",customform,field,string,"","","",Kategori,DA
abinventech,form19966,43098,Sikkerhed,43099,"",customform,block,"",layout_fieldset,"","",Info,DA
abinventech,form19966,43098,Sikkerhed,43100,"43099",customformelement,field,autonum,"","","",Nummer,DA
abinventech,form19966,43098,Sikkerhed,43102,"43099",customformelement,special,"","",createdby,"",Oprettet af,DA
abinventech,form19966,43098,Sikkerhed,43104,"43099",customformelement,special,"","",created,"",Oprettelsesdato,DA
abinventech,form19966,43098,Sikkerhed,43106,"43099",customformelement,special,"","",responsible,"",Ansvarlig,DA
abinventech,form19966,43098,Sikkerhed,43109,"",customform,block,"",layout_fieldset,"","",Sikkerhed,DA
abinventech,form19966,43098,Sikkerhed,43110,"43109",customformelement,field,date,"","","",Dato for nærved ulykke,DA
abinventech,form19966,43098,Sikkerhed,43112,"43109",customformelement,field,relation,"","",department,Afdeling for hændelsen,DA
abinventech,form19966,43098,Sikkerhed,43114,"43109",customformelement,field,text,"","","",Beskrivelse,DA
abinventech,form19966,43098,Sikkerhed,43116,"43109",customformelement,field,userrelation,"","","",Vælg behandler,DA
abinventech,form19966,43098,Sikkerhed,43119,"",customform,block,"",layout_fieldset,"","",Filer og billeder,DA
abinventech,form19966,43098,Sikkerhed,43120,"43119",customformelement,special,"","",layout_buttonupload,"",Upload filer,DA
abinventech,form19966,43098,Sikkerhed,43122,"43119",customformelement,field,imagethumbattach,"","","",Billeder,DA
abinventech,form19966,43098,Sikkerhed,43124,"43119",customformelement,field,imagethumbattach,"","","",Billede 02,DA
abinventech,form19966,43098,Sikkerhed,43126,"43119",customformelement,field,imagethumbattach,"","","",Billede 03,DA
abinventech,form19966,43098,Sikkerhed,43129,"",customform,block,"",layout_fieldset,"","",Behandling,DA
abinventech,form19966,43098,Sikkerhed,43130,"43129",customformelement,field,relation_multiple,"","",form20092,Årsag,DA
abinventech,form19966,43098,Sikkerhed,43132,"43129",customformelement,field,text,"","","",Årsagsanalyse,DA
abinventech,form19966,43098,Sikkerhed,43134,"43129",customformelement,field,text,"","","","Hvad skal gøres for, at risikoen for en ulykke fjernes?",DA
abinventech,form19966,43098,Sikkerhed,43136,"43129",customformelement,field,text,"","","",Her og nu tiltag,DA
abinventech,form19966,43098,Sikkerhed,43138,"43129",customformelement,field,radiobutton,"","","",Er opfølgning nødvendig?,DA
abinventech,form19966,43098,Sikkerhed,43143,"",customform,block,"",layout_fieldset,"","",Opfølgning,DA
abinventech,form19966,43098,Sikkerhed,43144,"43143",customformelement,field,date,"","","",Opfølgningsdato,DA
abinventech,form19966,43098,Sikkerhed,43146,"43143",customformelement,field,text,"","","",Kommentar,DA
abinventech,form20092,43262,Sikkerhed - årsager,43263,"",customform,field,string,"","","",Tekst,DA
abinventech,form43478,43478,Sikkerhed - Type,43479,"",customform,field,string,"","","",Type,DA
abinventech,form19966,43098,Sikkerhed,43483,"43109",customformelement,field,relation,"","",form43478,Type,DA
abinventech,form19966,43098,Sikkerhed,45281,"43109",customformelement,field,text,"","","",Det har jeg gjort,DA
abinventech,form1089,1089,Afvigelse,59694,"1106",customformelement,field,text,"","","",Årsagsanalyse,DA
amnj,form876,876,Kundereklamation,877,"878",customformelement,field,listselect,"","",company,Kunde,DA
amnj,form876,876,Kundereklamation,878,"",customform,block,"",layout_fieldset,"","",Kundeoplysninger,DA
amnj,form876,876,Kundereklamation,879,"878",customformelement,field,string,"","","",Gadenavn,DA
amnj,form876,876,Kundereklamation,880,"878",customformelement,field,string,"","","",Postnr,DA
amnj,form876,876,Kundereklamation,881,"878",customformelement,field,string,"","","",Postby,DA
amnj,form876,876,Kundereklamation,882,"878",customformelement,field,string,"","","",Telefonnummer,DA
amnj,form876,876,Kundereklamation,883,"878",customformelement,field,string,"","","",E-mail,DA
amnj,form876,876,Kundereklamation,884,"878",customformelement,field,string,"","","",Kontaktperson,DA
amnj,form876,876,Kundereklamation,885,"878",customformelement,field,string,"","","",Kundens reference,DA
amnj,form876,876,Kundereklamation,892,"893",customformelement,field,userrelation,"","","",Behandles af,DA
amnj,form876,876,Kundereklamation,893,"",customform,block,"",layout_fieldset,"","",Behandling af reklamationen,DA
amnj,form876,876,Kundereklamation,894,"893",customformelement,field,text,"","","",Handling der førte til reklamationen,DA
amnj,form876,876,Kundereklamation,895,"893",customformelement,field,relation,"","",form1556,Stillingtagen,DA
amnj,form876,876,Kundereklamation,896,"893",customformelement,field,relation,"","",form1558,Valgt løsning,DA
amnj,form876,876,Kundereklamation,897,"893",customformelement,field,decimal,"","","","Omkostning, kr",DA
amnj,form876,876,Kundereklamation,898,"893",customformelement,field,relation,"","",form1562,Reklamation opstået hos,DA
amnj,form876,876,Kundereklamation,899,"893",customformelement,field,relation,"","",form1560,Årsag til reklamationen,DA
amnj,form876,876,Kundereklamation,931,"",customform,block,"",layout_fieldset,"","",Info,DA
amnj,form876,876,Kundereklamation,900,"893",customformelement,field,userrelation_multiple,"","","",Send Information til,DA
amnj,form876,876,Kundereklamation,901,"",customform,block,"",layout_fieldset,"","",Oplysninger om reklamationen,DA
amnj,form876,876,Kundereklamation,902,"901",customformelement,field,string,"","","",Varenummer,DA
amnj,form876,876,Kundereklamation,903,"901",customformelement,field,string,"","","",Varenavn,DA
amnj,form876,876,Kundereklamation,904,"901",customformelement,field,string,"","","",Antal,DA
amnj,form876,876,Kundereklamation,905,"901",customformelement,field,combo,"","","",Enheder,DA
amnj,form876,876,Kundereklamation,906,"901",customformelement,field,string,"","","",Batchnr,DA
amnj,form876,876,Kundereklamation,907,"901",customformelement,field,relation,"","",form1554,Fejlkode,DA
amnj,form876,876,Kundereklamation,908,"901",customformelement,field,text,"","","",Kundens fejlbeskrivelse,DA
amnj,form876,876,Kundereklamation,932,"931",customformelement,special,"","",createdby,"",Oprettet af,DA
amnj,form876,876,Kundereklamation,933,"931",customformelement,special,"","",created,"",Oprettet,DA
amnj,form876,876,Kundereklamation,1028,"",customform,special,"","",layout_buttonupload,"",Vedhæft filer,DA
amnj,form876,876,Kundereklamation,1055,"931",customformelement,field,autonum,"","","",Nummer,DA
